article,status,brand,name,rating,reviews,n_mentions,total_likes,total_views,first_mention,last_mention
124736264,matched,vois,Увлажняющий крем - лосьон для рук и тела с мочевиной,4.9,50498.0,2,8,2052,2024-11-05 09:00:28,2025-04-30 08:00:01
41002668,matched,vois,Патчи для глаз от отеков и мешков с коллагеном 80 шт,4.8,306858.0,2,14,2668,2024-11-28 09:00:02,2025-04-17 08:36:50
41002668,matched,vois,Патчи для глаз от отеков и мешков с коллагеном 80 шт,4.8,306858.0,2,14,2668,2024-11-28 09:00:02,2025-04-17 08:36:50
344992982,matched,geltekcosmetics,Шампунь для волос укрепляющий с постбиотиками от выпадения,4.8,410.0,1,43,2802,2025-04-16 09:15:00,2025-04-16 09:15:00
344992982,matched,geltekcosmetics,Шампунь для волос укрепляющий с постбиотиками от выпадения,4.8,411.0,1,43,2802,2025-04-16 09:15:00,2025-04-16 09:15:00
521799046,matched,art&fact,Адвент календарь с уходовой косметикой для сухой кожи,4.9,425.0,1,58,828,2025-12-16 15:30:00,2025-12-16 15:30:00
521799046,matched,art&fact,Адвент календарь с уходовой косметикой для сухой кожи,4.9,425.0,1,58,828,2025-12-16 15:30:00,2025-12-16 15:30:00
357241398,matched,geltekcosmetics,Гель для лица от прыщей и демодекоза Демотен Форте,4.9,1914.0,1,41,3124,2025-03-17 09:00:13,2025-03-17 09:00:13
357241398,matched,geltekcosmetics,"Гель для лица от прыщей, розацеа и демодекоза Демотен Форте",4.9,1916.0,1,41,3124,2025-03-17 09:00:13,2025-03-17 09:00:13
378918708,matched,aravia,"Обновляющий гель для умывания RETINOL CARE, 250 мл",4.9,485.0,1,143,5255,2026-03-17 13:32:24,2026-03-17 13:32:24
505363464,matched,vois,Рефил крем для лица с салициловой кислотой от прыщей 50 мл,4.7,1403.0,1,9,8874,2025-11-22 08:59:00,2025-11-22 08:59:00
411564671,matched,geltekcosmetics,"Минеральный солнцезащитный крем Sun Shield SPF 50, 50 мл",4.8,803.0,1,40,3360,2025-05-27 11:56:58,2025-05-27 11:56:58
411564671,matched,geltekcosmetics,Минеральный солнцезащитный крем SPF 50 для лица и тела,4.8,804.0,1,40,3360,2025-05-27 11:56:58,2025-05-27 11:56:58
498177646,matched,geltekcosmetics,"Гель для душа с кислотами (Союзмультфильм), 240 мл",5.0,62.0,1,52,2304,2025-09-08 10:19:09,2025-09-08 10:19:09
498177646,matched,geltekcosmetics,"Гель для душа с кислотами (Союзмультфильм), 240 мл",5.0,62.0,1,52,2304,2025-09-08 10:19:09,2025-09-08 10:19:09
416083346,matched,geltekcosmetics,"Солнцезащитный крем с тонирующим эффектом Pink Ivory, 30 мл",4.8,3121.0,1,45,2902,2025-05-30 09:14:47,2025-05-30 09:14:47
416083346,matched,geltekcosmetics,Солнцезащитный крем для лица с тонирующим эффектом SPF 50,4.8,3132.0,1,45,2902,2025-05-30 09:14:47,2025-05-30 09:14:47
418066820,matched,geltekcosmetics,"Смягчающий крем для тела Soft therapy с мочевиной, 240 мл",4.8,523.0,1,49,1536,2025-07-22 12:24:10,2025-07-22 12:24:10
418066820,matched,geltekcosmetics,"Смягчающий крем для тела с мочевиной, церамидами и пантеноло…",4.8,525.0,1,49,1536,2025-07-22 12:24:10,2025-07-22 12:24:10
494877139,matched,art&fact,"Зубной реминерализирующий гель для зубов, 50 мл",4.9,1215.0,1,14,760,2025-10-04 06:43:15,2025-10-04 06:43:15
494877139,matched,art&fact,"Зубной реминерализирующий гель для зубов, 50 мл",4.9,1215.0,1,14,760,2025-10-04 06:43:15,2025-10-04 06:43:15
420070372,matched,art&fact,"Жидкость для ирригатора с ксилитолом и хлоргексидином, 500мл",4.9,194.0,1,42,834,2025-09-21 09:29:45,2025-09-21 09:29:45
